year,ncessch,school_name,state_location,lea_name,school_level,school_type,charter,enrollment
"2018","240012000910","Afternoon Group Learning Centers","MD","Baltimore County Public Schools","Ungraded","Other/alternative school","No","0"
"2018","240009001661","Afya Public Charter School","MD","Baltimore City Public Schools","Middle","Regular school","Yes","355"
"2018","240048000773","Albert Einstein High","MD","Montgomery County Public Schools","High","Regular school","No","1746"
"2018","240009000145","Alexander Hamilton Elementary","MD","Baltimore City Public Schools","Primary","Regular school","No","178"
"2018","240003000001","Allegany High","MD","Allegany County Public Schools","High","Regular school","No","721"
"2018","240051000966","Allenwood Elementary","MD","Prince Georges County Public Schools","Primary","Regular school","No","413"
"2018","240048001451","Alternative Programs","MD","Montgomery County Public Schools","High","Other/alternative school","No","116"
"2018","240051001683","Andrew Jackson Academy","MD","Prince Georges County Public Schools","Primary","Regular school","No","513"
"2018","240006000035","Annapolis Elementary","MD","Anne Arundel County Public Schools","Primary","Regular school","No","236"
"2018","240006000037","Annapolis High","MD","Anne Arundel County Public Schools","High","Regular school","No","1981"
"2018","240006000036","Annapolis Middle","MD","Anne Arundel County Public Schools","Middle","Regular school","No","1014"
"2018","240051000865","Annapolis Road Academy","MD","Prince Georges County Public Schools","Secondary","Other/alternative school","No","72"
"2018","240006000899","Anne Arundel Evening High","MD","Anne Arundel County Public Schools","High","Other/alternative school","No","278"
"2018","240051000969","Apple Grove Elementary","MD","Prince Georges County Public Schools","Primary","Regular school","No","456"
"2018","240042002949","Applications and Research Laboratory","MD","Howard County Public Schools","Ungraded","Other/alternative school","No","0"
"2018","240012000341","Arbutus Elementary","MD","Baltimore County Public Schools","Primary","Regular school","No","405"
"2018","240012000342","Arbutus Middle","MD","Baltimore County Public Schools","Middle","Regular school","No","964"
"2018","240048001643","Arcola Elementary","MD","Montgomery County Public Schools","Primary","Regular school","No","732"
"2018","240051000970","Ardmore Elementary","MD","Prince Georges County Public Schools","Primary","Regular school","No","403"
"2018","240048000409","Argyle Middle","MD","Montgomery County Public Schools","Middle","Regular school","No","1008"
"2018","240009000146","Arlington Elementary/Middle","MD","Baltimore City Public Schools","Primary","Regular school","No","547"
"2018","240009000147","Armistead Gardens Elementary/Middle","MD","Baltimore City Public Schools","Primary","Regular school","No","790"
"2018","240006000038","Arnold Elementary","MD","Anne Arundel County Public Schools","Primary","Regular school","No","435"
"2018","240051000971","Arrowhead Elementary","MD","Prince Georges County Public Schools","Primary","Regular school","No","404"
"2018","240027000582","Arthur Middleton Elementary School","MD","Charles County Public Schools","Primary","Regular school","No","480"
"2018","240009000148","Arundel Elementary","MD","Baltimore City Public Schools","Primary","Regular school","No","483"
"2018","240006000040","Arundel High","MD","Anne Arundel County Public Schools","High","Regular school","No","2122"
"2018","240006000039","Arundel Middle","MD","Anne Arundel County Public Schools","Middle","Regular school","No","1043"
"2018","240048000776","Ashburton Elementary","MD","Montgomery County Public Schools","Primary","Regular school","No","891"
"2018","240042000718","Atholton Elementary","MD","Howard County Public Schools","Primary","Regular school","No","471"
