year,ncessch,school_name,state_location,lea_name,school_level,school_type,charter,enrollment
"2018","370150002447","Clemmons Middle School","NC","Winston Salem / Forsyth County Schools","Middle","Regular school","No","1197"
"2018","370090003030","Cleveland ECHS","NC","Cleveland County Schools","High","Regular school","No","217"
"2018","370405001614","Cleveland Elementary","NC","Rowan-Salisbury Schools","Missing/not reported","Regular school","No",""
"2018","370237001014","Cleveland Elementary","NC","Johnston County Public Schools","Primary","Regular school","No","852"
"2018","370237003215","Cleveland High","NC","Johnston County Public Schools","High","Regular school","No","1750"
"2018","370237001173","Cleveland Middle","NC","Johnston County Public Schools","Middle","Regular school","No","971"
"2018","370001100407","Cliffdale Elementary","NC","Cumberland County Schools","Primary","Regular school","No","694"
"2018","370408001637","Cliffside Elementary School","NC","Rutherford County Schools","Primary","Regular school","No","273"
"2018","370093000353","Clinton High","NC","Clinton City Schools","High","Regular school","No","813"
"2018","370011602565","Clover Garden","NC","Clover Garden","Other","Regular school","Yes","652"
"2018","370231003081","Cloverleaf Elementary","NC","Iredell-Statesville Schools","Primary","Regular school","No","599"
"2018","370126000334","Club Boulevard Elementary","NC","Durham Public Schools","Primary","Regular school","No","462"
"2018","370069000281","Clyde Campbell Elementary","NC","Catawba County Schools","Primary","Regular school","No","512"
"2018","370204000899","Clyde Elementary","NC","Haywood County Schools","Primary","Regular school","No","507"
"2018","370345001419","Clyde Erwin Elementary","NC","Onslow County Schools","Primary","Regular school","No","435"
"2018","370041203415","Coastal Preparatory Academy","NC","Coastal Preparatory Academy","Primary","Regular school","Yes","633"
"2018","370201000879","Coats Elementary","NC","Harnett County Schools","Primary","Regular school","No","702"
"2018","370201002456","Coats-Erwin Middle","NC","Harnett County Schools","Middle","Regular school","No","659"
"2018","370297001203","Cochrane Collegiate Academy","NC","Charlotte-Mecklenburg Schools","High","Regular school","No","869"
"2018","370231003080","Coddle Creek Elementary","NC","Iredell-Statesville Schools","Primary","Regular school","No","672"
"2018","370132000553","Coker-Wimberly Elementary","NC","Edgecombe County Public Schools","Primary","Regular school","No","306"
"2018","370036000107","Colerain Elementary","NC","Bertie County Schools","Primary","Regular school","No","198"
"2018","370378001518","Coleridge Elementary","NC","Randolph County School System","Primary","Regular school","No","269"
"2018","370192000820","Colfax Elementary","NC","Guilford County Schools","Primary","Regular school","No","644"
"2018","370231002776","Collaborative College for Technology","NC","Iredell-Statesville Schools","High","Regular school","No","233"
"2018","370001100408","College Lakes Elementary","NC","Cumberland County Schools","Primary","Regular school","No","490"
"2018","370333001369","College Park Elementary","NC","New Hanover County Schools","Primary","Regular school","No","450"
"2018","370032503265","College Prep and Leadership Academy","NC","The College Preparatory and Leadership A","Other","Regular school","Yes","635"
"2018","370333003348","College Road Early Childhood Center","NC","New Hanover County Schools","Primary","Regular school","No","164"
"2018","370058000222","Collettsville School","NC","Caldwell County Schools","Primary","Regular school","No","352"
"2018","370297001204","Collinswood Language Academy","NC","Charlotte-Mecklenburg Schools","Primary","Regular school","No","800"
"2018","370053000376","Coltrane-Webb Elementary","NC","Cabarrus County Schools","Primary","Regular school","No","443"
"2018","370459001788","Columbia High","NC","Tyrrell County Schools","High","Regular school","No","184"
"2018","370459002650","Columbia Middle","NC","Tyrrell County Schools","Middle","Regular school","No","166"
"2018","370014002923","Columbus Charter School","NC","Columbus Charter School","Primary","Regular school","Yes","658"
"2018","370472001846","Combs Elementary","NC","Wake County Schools","Primary","Regular school","No","875"
"2018","370240001033","Comfort Elementary","NC","Jones County Schools","Primary","Regular school","No","168"
"2018","370038203336","Commonwealth High","NC","Commonwealth High School","High","Other/alternative school","Yes","280"
"2018","370045002203","Community High School","NC","Buncombe County Schools","High","Other/alternative school","No","132"
"2018","370297002783","Community House Middle","NC","Charlotte-Mecklenburg Schools","Middle","Regular school","No","1903"
"2018","370013502736","Community School of Davidson","NC","Community School of Davidson","Other","Regular school","Yes","1397"
"2018","370053000378","Concord High","NC","Cabarrus County Schools","High","Regular school","No","1229"
"2018","370053000377","Concord Middle","NC","Cabarrus County Schools","Middle","Regular school","No","858"
"2018","370472001847","Conn Elementary","NC","Wake County Schools","Primary","Regular school","No","477"
"2018","370472003445","Connections Academy","NC","Wake County Schools","Middle","Other/alternative school","No","12"
